marka;model;paket;tamad
ALFA ROMEO;GT;2.0 JTS DISTINCTIVE;GT 2.0 JTS DISTINCTIVE
ALFA ROMEO;GT;2.0 JTS DISTINCTIVE SELESPEED;GT 2.0 JTS DISTINCTIVE SELESPEED
ALFA ROMEO;159;1.9 JTD PROGRESSION;159 1.9 JTD PROGRESSION
ALFA ROMEO;159;1.9 JTS DISTINCTIVE;159 1.9 JTS DISTINCTIVE
ALFA ROMEO;159;1.9 JTD DISTINCTIVE;159 1.9 JTD DISTINCTIVE
ALFA ROMEO;159;1.9 JTD DISTINCTIVE OV;159 1.9 JTD DISTINCTIVE OV
ALFA ROMEO;BRERA;2.2 JTS;BRERA 2.2 JTS
ALFA ROMEO;BRERA;2.2 JTS SKY WINDOW;BRERA 2.2 JTS SKY WINDOW
ALFA ROMEO;BRERA;2.4 JTD SKY WINDOW;BRERA 2.4 JTD SKY WINDOW
ALFA ROMEO;BRERA;3.2 V6 Q4;BRERA 3.2 V6 Q4
ALFA ROMEO;BRERA;3.2 V6 Q4 SKY WINDOW;BRERA 3.2 V6 Q4 SKY WINDOW
ALFA ROMEO;147;1.6 5 KAPI PROGRESSION (105);147 1.6 5 KAPI PROGRESSION (105)
ALFA ROMEO;147;1.6 3 KAPI PROGRESSION (105);147 1.6 3 KAPI PROGRESSION (105)
ALFA ROMEO;147;1.6 5 COLLEIZONE (120);147 1.6 5 COLLEIZONE (120)
ALFA ROMEO;147;2.0 5 KAPI SELESPEED BLACKLINE;147 2.0 5 KAPI SELESPEED BLACKLINE
ALFA ROMEO;147;1.6 5 KAPI DISTINCTIVE (105);147 1.6 5 KAPI DISTINCTIVE (105)
ALFA ROMEO;159;1.9 JTD PROGRESSION Q-TRONIC;159 1.9 JTD PROGRESSION Q-TRONIC
ALFA ROMEO;159;1.9 JTD DISTINCTIVE Q-TRONIC;159 1.9 JTD DISTINCTIVE Q-TRONIC
ALFA ROMEO;147;1.9 JTD Q2;147 1.9 JTD Q2
ALFA ROMEO;159;1.8 MPI DISTINCTIVE;159 1.8 MPI DISTINCTIVE
ALFA ROMEO;159;1.8 MPI DISTINCTIVE PLUS;159 1.8 MPI DISTINCTIVE PLUS
ALFA ROMEO;159;1.9 JTS DISTINCTIVE PLUS;159 1.9 JTS DISTINCTIVE PLUS
ALFA ROMEO;159;1.9 JTD DISTINCTIVE PLUS;159 1.9 JTD DISTINCTIVE PLUS
ALFA ROMEO;159;1.9 JTD DISTINCTIVE PLUS Q-TRONIC;159 1.9 JTD DISTINCTIVE PLUS Q-TRONIC
ALFA ROMEO;159;1.9 JTD DISTINCTIVE Q-TRONIC SPORTSW;159 1.9 JTD DISTINCTIVE Q-TRONIC SPORTSW
ALFA ROMEO;159;1.8 MPI DISTINCTIVE PLUS SPORTSWAGON;159 1.8 MPI DISTINCTIVE PLUS SPORTSWAGON
ALFA ROMEO;159;1.9 JTD DISTINCTIVE PLUS SPORTSWAGON;159 1.9 JTD DISTINCTIVE PLUS SPORTSWAGON
ALFA ROMEO;159;1.9 JTD D.CTIVE PLUS Q-TRONIC SPORTS;159 1.9 JTD D.CTIVE PLUS Q-TRONIC SPORTS
ALFA ROMEO;BRERA;3.2 V6 Q4 Q-TRONIC;BRERA 3.2 V6 Q4 Q-TRONIC
ALFA ROMEO;MITO;1.4 (78) JUNIOR 3 KAPI;MITO 1.4 (78) JUNIOR 3 KAPI
ALFA ROMEO;MITO;1.4 TB (155) PROGRESSION 3 KAPI;MITO 1.4 TB (155) PROGRESSION 3 KAPI
ALFA ROMEO;MITO;1.4 TB (155) DISTINCTIVE 3 KAPI;MITO 1.4 TB (155) DISTINCTIVE 3 KAPI
ALFA ROMEO;MITO;1.6 JTD (120) PROGRESSION 3 KAPI;MITO 1.6 JTD (120) PROGRESSION 3 KAPI
ALFA ROMEO;MITO;1.6 JTD (120) DISTINCTIVE 3 KAPI;MITO 1.6 JTD (120) DISTINCTIVE 3 KAPI
ALFA ROMEO;159;1.9 JTD (150) NEW DISTINCTIVE PLUS;159 1.9 JTD (150) NEW DISTINCTIVE PLUS
ALFA ROMEO;159;1.9 JTD (150) NEW D.TIVE PLUS Q-TRON;159 1.9 JTD (150) NEW D.TIVE PLUS Q-TRON
ALFA ROMEO;159;1.8 TBI (200) NEW DISTINCTIVE PLUS;159 1.8 TBI (200) NEW DISTINCTIVE PLUS
ALFA ROMEO;MITO;1.4 TB MULTIAIR 170 QUAD.VERDE 3K;MITO 1.4 TB MULTIAIR 170 QUAD.VERDE 3K
